Part,2026-03-23,2026-03-30,2026-04-06,2026-04-13,2026-04-20,2026-04-27,2026-05-04,2026-05-11,2026-05-18,2026-05-25,2026-06-01,2026-06-08,2026-06-15,2026-06-22,2026-06-29,2026-07-06,2026-07-13,2026-07-20,2026-07-27,2026-08-03,2026-08-10,2026-08-17,2026-08-24,2026-08-31,2026-09-07,2026-09-14,2026-09-21,2026-09-28,2026-10-05,2026-10-12,2026-10-19,2026-10-26,2026-11-02,2026-11-09,2026-11-16,2026-11-23,2026-11-30,2026-12-07,2026-12-14,2026-12-21,2026-12-28,2027-01-04,2027-01-11,2027-01-18,2027-01-25,2027-02-01,2027-02-08,2027-02-15,2027-02-22,2027-03-01,2027-03-08
101109,2.1333333333333333,1.7777777777777777,1.4222222222222223,1.0666666666666667,6,5,4,3,2,5.355555555555555,4.355555555555555,3.3555555555555556,2.3555555555555556,1.3555555555555556,5,4,3,2,1,5.355555555555555,4.355555555555555,3.3555555555555556,2.3555555555555556,1.3555555555555556,0.35555555555555557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101111,11,10,9,8,13,12,11,10,9,12,11,10,9,8,16,15,14,13,12,11,10,9,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101119,0,0,1.5028901734104045,5.072254335260116,4.072254335260116,3.0722543352601157,2.0722543352601157,5,4,3,2,5,4,3,2,5.491329479768786,4.491329479768786,3.491329479768786,2.491329479768786,5.491329479768786,4.491329479768786,3.491329479768786,2.491329479768786,1.4913294797687862,0.4913294797687861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101168,9.805970149253731,8.805970149253731,7.8059701492537314,6.8059701492537314,5.8059701492537314,10.880597014925373,9.880597014925373,8.880597014925373,7.880597014925373,11.552238805970148,10.552238805970148,9.552238805970148,8.552238805970148,7.552238805970149,11.029850746268657,10.029850746268657,9.029850746268657,12.507462686567164,11.507462686567164,10.507462686567164,9.507462686567164,8.507462686567164,11.985074626865671,10.985074626865671,9.985074626865671,8.985074626865671,7.985074626865671,6.985074626865671,5.985074626865671,4.985074626865671,3.985074626865672,2.985074626865672,1.9850746268656716,1.8805970149253732,1.7761194029850746,1.671641791044776,1.5671641791044777,1.462686567164179,1.3582089552238805,1.2537313432835822,1.1492537313432836,1.044776119402985,0.9402985074626866,0.835820895522388,0.7313432835820896,0.6268656716417911,0.5223880597014925,0.417910447761194,0.31343283582089554,0.208955223880597,0.1044776119402985
101170,7,6,5,4,7,6,5,4,7,6,5,4,9,8,7,6,5,4,8,7,6,5,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101300,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101304,1.1448656791363294,0.8977491961414791,0.2710683477106835,0.16404251691013472,3.845632089814057,2.8458852567575703,5,4,3,2,4.705426356589148,3.705426356589147,2.705426356589147,1.7054263565891472,4.705426356589148,3.705426356589147,2.705426356589147,1.7054263565891472,4,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101309,7,6,5,4,3,6,5,4,3,6,5,4,3,7,6,5,4,3,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101546,4,3,2,1,4,3,5,4,3,5,4,3,4,3,3,2,1,4,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101712,11.383290582631,10.386046511627907,9.332278481012658,8.332278481012658,7.332278481012659,6.332278481012659,5.352760736196319,4.352760736196319,3.352760736196319,6,5,4,3,7,6,5,4,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101731,4.2967827866633455,3.295887640699134,4.280620741862226,3.2801164004709333,5.279584008767324,4.279021159672154,6.259688610594009,5.258981513777468,4.258229897463573,5.674591381872214,4.672352795984971,6.110675974799932,5.1102519624849325,4.109796266926924,5.270712543167633,4.26939811457578,3.2679730704496275,5.704962707974756,4.700483816524772,3.6955735513798253,5.260830958575972,4.258569688533147,5.677526076368148,4.670074982958418,3.6616786620411124,2.6521450685537373,1.6412263535551206,0.6285970072899347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101732,5,4,3,2,1,5,4,3,6,5,4,6,5,4,3,2,5,4,3,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101761,17,16,15,14,13,12,12.1,16.5,15.5,14.5,16.2,15.2,14.2,13.2,14,13,12,11,10,9,8,7,6,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101836,5,4,3,6,11,10,9,8,7,6,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101837,19.072679045092837,18.006318830113738,16.93711967545639,15.864895421141888,14.789443267193219,13.710541871921182,12.157973174366617,11.157973174366617,10.157973174366617,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101838,15,10.571950662402923,9.60759493670886,8.60759493670886,7.6075949367088604,6.6075949367088604,6.898039215686275,8,7,6,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101839,13,12,11,10,9,8,6.775510204081633,5.775510204081633,4.775510204081633,9,8,7,6,11,10,9,8,7,6,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101877,0,0,12,18,17,22,21,20,19,22,21,21,20,19,20,19,18,19,18,19,18,17,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
101898,6,5,6,5,4,5,7,6,5,7,6,8,7,6,5,7.816296296296296,6.816296296296296,5.816296296296296,4.816296296296296,6.816296296296296,5.816296296296296,4.816296296296296,3.8162962962962963,2.8162962962962963,1.8162962962962963,0.8162962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101944,3.8065224689463335,2.8347753752048495,2.6211477482331973,1.6500639672660335,4.742825271270662,3.751014757430263,6.773573736526651,5.767474693832614,4.7607299210343275,5.753231137000209,4.744844417327639,6,5,6,5,5.68125,4.6614830267399965,6,5,9.28121720881427,8.754887218045113,17.556025369978858,18.98553806890685,21.684549356223176,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
101948,12.337307045697692,11.370869033047736,10.409313725490197,9.453790238836968,8.505838967424708,7.5675736199753665,6.6419753086419755,5.733388361535287,4.848400124262193,3.9975031210986267,3.198492462311558,2.489204978409957,2.7275661717236925,3.187250996015936,4.26056338028169,8.605851979345955,7.758620689655173,6.911447084233261,6.064356435643564,5.217391304347826,4.370629370629371,3.5242290748898677,2.6785714285714284,1.834862385321101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101949,11.012435991221654,10.013215859030836,9.014114177375184,8.015160150461643,7.016393442622951,6.0178693220570185,5.244647445047103,4.246274635475084,3.2483564645726806,2.25111441307578,1.2549417131272174,0.25874566656161363,0.165,0.10817455439459127,0.05152224824355972,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101959,5,4,3,2,6,5,4,3,6,5,4,3,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102027,6,5,4,3,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102028,1,0,0,7,6,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102059,3.734898368164901,2.752505243532976,5.3107344632768365,4.3107344632768365,5.367231638418079,4.367231638418079,3.367231638418079,2.367231638418079,4.2824858757062145,3.2824858757062145,4.576271186440678,3.5762711864406778,2.5762711864406778,3.519774011299435,2.519774011299435,4.084745762711864,3.0847457627118646,4.378531073446328,3.378531073446328,2.378531073446328,3.378531073446328,2.378531073446328,3.8870056497175143,2.8870056497175143,1.887005649717514,0.8870056497175142,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102065,10,9,8,7,10,9,8,7,6,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102079,8,7,6,5,17,16,24,23,22,21,20,19,18,21,20,19,18,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102098,12.271972810622826,11.271565883927485,10.193347193347194,9.193347193347194,15.033264033264032,14.033264033264032,14.252371916508539,13.252371916508539,12.252371916508539,11.252371916508539,14.992409867172675,13.992409867172675,12.992409867172675,11.992409867172675,10.992409867172675,14.555977229601519,13.555977229601519,12.555977229601519,11.555977229601519,10.555977229601519,9.555977229601519,8.555977229601519,7.555977229601518,6.555977229601518,5.555977229601518,4.555977229601518,3.555977229601518,2.732447817836812,1.9089184060721063,1.0853889943074004,0.2618595825426945,0.174573055028463,0.0872865275142315,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
